sentiment,id,date,query,user,text,bow
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,switchfoot awww bummer shoulda got david carr third day d,"{'switchfoot': 1, 'awww': 1, 'bummer': 1, 'shoulda': 1, 'got': 1, 'david': 1, 'carr': 1, 'third': 1, 'day': 1, 'd': 1}"
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,upset update facebook texting might cry result school today also blah,"{'upset': 1, 'update': 1, 'facebook': 1, 'texting': 1, 'might': 1, 'cry': 1, 'result': 1, 'school': 1, 'today': 1, 'also': 1, 'blah': 1}"
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,kenichan dived many times ball managed save 50 rest go bounds,"{'kenichan': 1, 'dived': 1, 'many': 1, 'times': 1, 'ball': 1, 'managed': 1, 'save': 1, '50': 1, 'rest': 1, 'go': 1, 'bounds': 1}"
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,whole body feels itchy like fire,"{'whole': 1, 'body': 1, 'feels': 1, 'itchy': 1, 'like': 1, 'fire': 1}"
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,nationwideclass behaving m mad see,"{'nationwideclass': 1, 'behaving': 1, 'm': 1, 'mad': 1, 'see': 1}"
0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,kwesidei whole crew,"{'kwesidei': 1, 'whole': 1, 'crew': 1}"
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,need hug,"{'need': 1, 'hug': 1}"
0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,loltrish hey long time see yes rains bit bit lol m fine thanks,"{'loltrish': 1, 'hey': 1, 'long': 1, 'time': 1, 'see': 1, 'yes': 1, 'rains': 1, 'bit': 2, 'lol': 1, 'm': 1, 'fine': 1, 'thanks': 1}"
0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,tatianak nope didn,"{'tatianak': 1, 'nope': 1, 'didn': 1}"
0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,twittera que muera,"{'twittera': 1, 'que': 1, 'muera': 1}"
0,1467812416,Mon Apr 06 22:20:16 PDT 2009,NO_QUERY,erinx3leannexo,spring break plain city snowing,"{'spring': 1, 'break': 1, 'plain': 1, 'city': 1, 'snowing': 1}"
0,1467812579,Mon Apr 06 22:20:17 PDT 2009,NO_QUERY,pardonlauren,repierced ears,"{'repierced': 1, 'ears': 1}"
0,1467812723,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,TLeC,caregiving couldn bear watch thought ua loss embarrassing,"{'caregiving': 1, 'couldn': 1, 'bear': 1, 'watch': 1, 'thought': 1, 'ua': 1, 'loss': 1, 'embarrassing': 1}"
0,1467812771,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,robrobbierobert,octolinz16 counts idk either never talk anymore,"{'octolinz16': 1, 'counts': 1, 'idk': 1, 'either': 1, 'never': 1, 'talk': 1, 'anymore': 1}"
0,1467812784,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,bayofwolves,smarrison would ve first didn gun really though zac snyder doucheclown,"{'smarrison': 1, 'would': 1, 've': 1, 'first': 1, 'didn': 1, 'gun': 1, 'really': 1, 'though': 1, 'zac': 1, 'snyder': 1, 'doucheclown': 1}"
0,1467812799,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,HairByJess,iamjazzyfizzle wish got watch miss iamlilnicki premiere,"{'iamjazzyfizzle': 1, 'wish': 1, 'got': 1, 'watch': 1, 'miss': 1, 'iamlilnicki': 1, 'premiere': 1}"
0,1467812964,Mon Apr 06 22:20:22 PDT 2009,NO_QUERY,lovesongwriter,hollis death scene hurt severely watch film wry directors cut,"{'hollis': 1, 'death': 1, 'scene': 1, 'hurt': 1, 'severely': 1, 'watch': 1, 'film': 1, 'wry': 1, 'directors': 1, 'cut': 1}"
0,1467813137,Mon Apr 06 22:20:25 PDT 2009,NO_QUERY,armotley,file taxes,"{'file': 1, 'taxes': 1}"
0,1467813579,Mon Apr 06 22:20:31 PDT 2009,NO_QUERY,starkissed,lettya ahh ive always wanted see rent love soundtrack,"{'lettya': 1, 'ahh': 1, 'ive': 1, 'always': 1, 'wanted': 1, 'see': 1, 'rent': 1, 'love': 1, 'soundtrack': 1}"
0,1467813782,Mon Apr 06 22:20:34 PDT 2009,NO_QUERY,gi_gi_bee,fakerpattypattz oh dear drinking forgotten table drinks,"{'fakerpattypattz': 1, 'oh': 1, 'dear': 1, 'drinking': 1, 'forgotten': 1, 'table': 1, 'drinks': 1}"
0,1467813985,Mon Apr 06 22:20:37 PDT 2009,NO_QUERY,quanvu,alydesigns day didn get much done,"{'alydesigns': 1, 'day': 1, 'didn': 1, 'get': 1, 'much': 1, 'done': 1}"
0,1467813992,Mon Apr 06 22:20:38 PDT 2009,NO_QUERY,swinspeedx,one friend called asked meet mid valley todaybut ve time sigh,"{'one': 1, 'friend': 1, 'called': 1, 'asked': 1, 'meet': 1, 'mid': 1, 'valley': 1, 'todaybut': 1, 've': 1, 'time': 1, 'sigh': 1}"
0,1467814119,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,cooliodoc,angrybarista baked cake ated,"{'angrybarista': 1, 'baked': 1, 'cake': 1, 'ated': 1}"
0,1467814180,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,viJILLante,week going hoped,"{'week': 1, 'going': 1, 'hoped': 1}"
0,1467814192,Mon Apr 06 22:20:41 PDT 2009,NO_QUERY,Ljelli3166,blagh class 8 tomorrow,"{'blagh': 1, 'class': 1, '8': 1, 'tomorrow': 1}"
0,1467814438,Mon Apr 06 22:20:44 PDT 2009,NO_QUERY,ChicagoCubbie,hate call wake people,"{'hate': 1, 'call': 1, 'wake': 1, 'people': 1}"
0,1467814783,Mon Apr 06 22:20:50 PDT 2009,NO_QUERY,KatieAngell,going cry sleep watching marley,"{'going': 1, 'cry': 1, 'sleep': 1, 'watching': 1, 'marley': 1}"
0,1467814883,Mon Apr 06 22:20:52 PDT 2009,NO_QUERY,gagoo,im sad misslilly,"{'im': 1, 'sad': 1, 'misslilly': 1}"
0,1467815199,Mon Apr 06 22:20:56 PDT 2009,NO_QUERY,abel209,ooooh lol leslie ok won leslie won get mad,"{'ooooh': 1, 'lol': 1, 'leslie': 2, 'ok': 1, 'won': 2, 'get': 1, 'mad': 1}"
0,1467815753,Mon Apr 06 22:21:04 PDT 2009,NO_QUERY,BaptisteTheFool,meh almost lover exception track gets depressed every time,"{'meh': 1, 'almost': 1, 'lover': 1, 'exception': 1, 'track': 1, 'gets': 1, 'depressed': 1, 'every': 1, 'time': 1}"
0,1467815923,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,fatkat309,some1 hacked account aim make new one,"{'some1': 1, 'hacked': 1, 'account': 1, 'aim': 1, 'make': 1, 'new': 1, 'one': 1}"
0,1467815924,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,EmCDL,alielayus want go promote gear groove unfornately ride may b going one anaheim may though,"{'alielayus': 1, 'want': 1, 'go': 1, 'promote': 1, 'gear': 1, 'groove': 1, 'unfornately': 1, 'ride': 1, 'may': 2, 'b': 1, 'going': 1, 'one': 1, 'anaheim': 1, 'though': 1}"
0,1467815988,Mon Apr 06 22:21:09 PDT 2009,NO_QUERY,merisssa,thought sleeping option tomorrow realizing evaluations morning work afternoon,"{'thought': 1, 'sleeping': 1, 'option': 1, 'tomorrow': 1, 'realizing': 1, 'evaluations': 1, 'morning': 1, 'work': 1, 'afternoon': 1}"
0,1467816149,Mon Apr 06 22:21:11 PDT 2009,NO_QUERY,Pbearfox,julieebaby awe love 1 miss,"{'julieebaby': 1, 'awe': 1, 'love': 1, '1': 1, 'miss': 1}"
0,1467816665,Mon Apr 06 22:21:21 PDT 2009,NO_QUERY,jsoo,humpninja cry asian eyes sleep night,"{'humpninja': 1, 'cry': 1, 'asian': 1, 'eyes': 1, 'sleep': 1, 'night': 1}"
0,1467816749,Mon Apr 06 22:21:20 PDT 2009,NO_QUERY,scarletletterm,ok m sick spent hour sitting shower cause sick stand held back puke like champ bed,"{'ok': 1, 'm': 1, 'sick': 2, 'spent': 1, 'hour': 1, 'sitting': 1, 'shower': 1, 'cause': 1, 'stand': 1, 'held': 1, 'back': 1, 'puke': 1, 'like': 1, 'champ': 1, 'bed': 1}"
0,1467817225,Mon Apr 06 22:21:27 PDT 2009,NO_QUERY,crosland_12,cocomix04 ill tell ya story later good day ill workin like three hours,"{'cocomix04': 1, 'ill': 2, 'tell': 1, 'ya': 1, 'story': 1, 'later': 1, 'good': 1, 'day': 1, 'workin': 1, 'like': 1, 'three': 1, 'hours': 1}"
0,1467817374,Mon Apr 06 22:21:30 PDT 2009,NO_QUERY,ajaxpro,missxu sorry bed time came gmt1,"{'missxu': 1, 'sorry': 1, 'bed': 1, 'time': 1, 'came': 1, 'gmt1': 1}"
0,1467817502,Mon Apr 06 22:21:32 PDT 2009,NO_QUERY,Tmttq86,fleurylis either depressing think even want know kids suitcases,"{'fleurylis': 1, 'either': 1, 'depressing': 1, 'think': 1, 'even': 1, 'want': 1, 'know': 1, 'kids': 1, 'suitcases': 1}"
0,1467818007,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,Anthony_Nguyen,bed class 812 work 123 gym 35 6 class 610 another day gonna fly miss girlfriend,"{'bed': 1, 'class': 2, '812': 1, 'work': 1, '123': 1, 'gym': 1, '35': 1, '6': 1, '610': 1, 'another': 1, 'day': 1, 'gonna': 1, 'fly': 1, 'miss': 1, 'girlfriend': 1}"
0,1467818020,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,itsanimesh,really feel like getting today got study tomorrows practical exam,"{'really': 1, 'feel': 1, 'like': 1, 'getting': 1, 'today': 1, 'got': 1, 'study': 1, 'tomorrows': 1, 'practical': 1, 'exam': 1}"
0,1467818481,Mon Apr 06 22:21:46 PDT 2009,NO_QUERY,lionslamb,reason teardrops guitar one enough break heart,"{'reason': 1, 'teardrops': 1, 'guitar': 1, 'one': 1, 'enough': 1, 'break': 1, 'heart': 1}"
0,1467818603,Mon Apr 06 22:21:49 PDT 2009,NO_QUERY,kennypham,sad sad sad know hate feeling wanna sleep still,"{'sad': 3, 'know': 1, 'hate': 1, 'feeling': 1, 'wanna': 1, 'sleep': 1, 'still': 1}"
0,1467818900,Mon Apr 06 22:21:53 PDT 2009,NO_QUERY,DdubsShellBell,jonathanrknight awww soo wish see finally comfortable im sad missed,"{'jonathanrknight': 1, 'awww': 1, 'soo': 1, 'wish': 1, 'see': 1, 'finally': 1, 'comfortable': 1, 'im': 1, 'sad': 1, 'missed': 1}"
0,1467819022,Mon Apr 06 22:21:56 PDT 2009,NO_QUERY,hpfangirl94,falling asleep heard tracy girl body found sad heart breaks family,"{'falling': 1, 'asleep': 1, 'heard': 1, 'tracy': 1, 'girl': 1, 'body': 1, 'found': 1, 'sad': 1, 'heart': 1, 'breaks': 1, 'family': 1}"
0,1467819650,Mon Apr 06 22:22:05 PDT 2009,NO_QUERY,antzpantz,viennah yay m happy job also means less time,"{'viennah': 1, 'yay': 1, 'm': 1, 'happy': 1, 'job': 1, 'also': 1, 'means': 1, 'less': 1, 'time': 1}"
0,1467819712,Mon Apr 06 22:22:06 PDT 2009,NO_QUERY,labrt2004,checked user timeline blackberry looks like twanking still happening ppl still probs w bgs uids,"{'checked': 1, 'user': 1, 'timeline': 1, 'blackberry': 1, 'looks': 1, 'like': 1, 'twanking': 1, 'still': 2, 'happening': 1, 'ppl': 1, 'probs': 1, 'w': 1, 'bgs': 1, 'uids': 1}"
0,1467819812,Mon Apr 06 22:22:07 PDT 2009,NO_QUERY,IrisJumbe,oh manwas ironing jeancjumbe fave top wear meeting burnt,"{'oh': 1, 'manwas': 1, 'ironing': 1, 'jeancjumbe': 1, 'fave': 1, 'top': 1, 'wear': 1, 'meeting': 1, 'burnt': 1}"
0,1467820206,Mon Apr 06 22:22:13 PDT 2009,NO_QUERY,peacoats,strangely sad lilo samro breaking,"{'strangely': 1, 'sad': 1, 'lilo': 1, 'samro': 1, 'breaking': 1}"
0,1467820835,Mon Apr 06 22:22:25 PDT 2009,NO_QUERY,cyantist,tea oh m sorry didn think retweeting,"{'tea': 1, 'oh': 1, 'm': 1, 'sorry': 1, 'didn': 1, 'think': 1, 'retweeting': 1}"
0,1467820863,Mon Apr 06 22:22:23 PDT 2009,NO_QUERY,tautao,broadband plan massive broken promise via wwwdiigocomtautao still waiting broadband,"{'broadband': 2, 'plan': 1, 'massive': 1, 'broken': 1, 'promise': 1, 'via': 1, 'wwwdiigocomtautao': 1, 'still': 1, 'waiting': 1}"
0,1467820906,Mon Apr 06 22:22:24 PDT 2009,NO_QUERY,voyage2k,localtweeps wow tons replies may unfollow see friends tweets re scrolling feed lot,"{'localtweeps': 1, 'wow': 1, 'tons': 1, 'replies': 1, 'may': 1, 'unfollow': 1, 'see': 1, 'friends': 1, 'tweets': 1, 're': 1, 'scrolling': 1, 'feed': 1, 'lot': 1}"
0,1467821085,Mon Apr 06 22:22:26 PDT 2009,NO_QUERY,crzy_cdn_bulas,duck chicken taking wayyy long hatch,"{'duck': 1, 'chicken': 1, 'taking': 1, 'wayyy': 1, 'long': 1, 'hatch': 1}"
0,1467821338,Mon Apr 06 22:22:30 PDT 2009,NO_QUERY,justnetgirl,put vacation photos online yrs ago pc crashed forget name site,"{'put': 1, 'vacation': 1, 'photos': 1, 'online': 1, 'yrs': 1, 'ago': 1, 'pc': 1, 'crashed': 1, 'forget': 1, 'name': 1, 'site': 1}"
0,1467821455,Mon Apr 06 22:22:32 PDT 2009,NO_QUERY,CiaraRenee,need hug,"{'need': 1, 'hug': 1}"
0,1467821715,Mon Apr 06 22:22:37 PDT 2009,NO_QUERY,deelau,andywana sure pos much want dont think trade away company assets sorry andy,"{'andywana': 1, 'sure': 1, 'pos': 1, 'much': 1, 'want': 1, 'dont': 1, 'think': 1, 'trade': 1, 'away': 1, 'company': 1, 'assets': 1, 'sorry': 1, 'andy': 1}"
0,1467822384,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,Lindsey0920,oanhlove hate happens,"{'oanhlove': 1, 'hate': 1, 'happens': 1}"
0,1467822389,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,HybridMink,sad feeling dallas going show gotta say though d think shows would use music game mmm,"{'sad': 1, 'feeling': 1, 'dallas': 1, 'going': 1, 'show': 1, 'gotta': 1, 'say': 1, 'though': 1, 'd': 1, 'think': 1, 'shows': 1, 'would': 1, 'use': 1, 'music': 1, 'game': 1, 'mmm': 1}"
0,1467822519,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,gzacher,ugh92 degrees tomorrow,"{'ugh92': 1, 'degrees': 1, 'tomorrow': 1}"
0,1467822522,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,Jenn_L,u move thought u already sd hmmm random u found glad hear yer well,"{'u': 3, 'move': 1, 'thought': 1, 'already': 1, 'sd': 1, 'hmmm': 1, 'random': 1, 'found': 1, 'glad': 1, 'hear': 1, 'yer': 1, 'well': 1}"
0,1467822687,Mon Apr 06 22:22:52 PDT 2009,NO_QUERY,xVivaLaJuicyx,batmanyng miss ps3 commission wutcha playing copped blood sand,"{'batmanyng': 1, 'miss': 1, 'ps3': 1, 'commission': 1, 'wutcha': 1, 'playing': 1, 'copped': 1, 'blood': 1, 'sand': 1}"
